Fact-checker,Country,State,Check Date,Hoax-Checked,Original New,Missinformation Source
PolitiFact,US,FALSE,11/3/2021,Global warming is part of (a) natural cycle and there’s nothing we can actually do to stop these cycles.,“Global warming is part of (a) natural cycle and there’s nothing we can actually do to stop these cycles.”,Viral image
PolitiFact,US,FALSE,9/13/2021,"Florida has had 119 hurricanes since 1850, yet experts are saying the last one was due to climate change.","""Florida has had 119 hurricanes since 1850,” yet experts are saying “the last one was due to climate change.""",Viral image
PolitiFact,US,FALSE,7/2/2021,A wind turbine could never generate as much energy as was invested in building it.,A wind turbine “could never generate as much energy as was invested in building it.”,Viral image
PolitiFact,US,FALSE,7/20/2021,Jeff Bezos will put 300 (metric tons) of carbon into the atmosphere for 180 seconds in space.,Says “Jeff Bezos will put 300 (metric tons) of carbon into the atmosphere for 180 seconds in space.”,Anonymous tweets
PolitiFact,US,FALSE,7/19/2021,A car flooded in Germany had a sticker critical of Greta Thunberg. ,A car flooded in Germany had a sticker critical of Greta Thunberg.,Viral image
PolitiFact,US,FALSE,7/15/2021,Carbon dioxide is not a problem. The Earth has more than enough land and ocean plant life to metabolize it.,Carbon dioxide “is not a problem. The Earth has more than enough land and ocean plant life to metabolize it.”,Anonymous Facebook posts
PolitiFact,US,FALSE,7/2/2021,California literally just told everyone to not charge their electric cars due to power shortage.,“California literally just told everyone to not charge their electric cars due to power shortage.”,Anonymous Facebook posts
PolitiFact,US,FALSE,6/9/2021,The Biden administration ignores the negative environmental impact created by lithium mining.,The Biden administration “ignores the negative environmental impact created by lithium mining.”,Chuck Grassley
PolitiFact,US,FALSE,5/5/2021,"The Green New Deal costs an average American household almost $700,000 through 2029.","The Green New Deal “costs an average American household almost $700,000 through 2029.”",Ben Cline
PolitiFact,US,FALSE,4/26/2021,"Those 30-, 40-year mortgages prove that banks know climate change is not going to happen.","“Those 30-, 40-year mortgages” prove that banks know climate change “is not going to happen.”",Anonymous Instagram posts
PolitiFact,US,FALSE,2/19/2021,"Ted Cruz tweeted, “I’ll believe in climate change when Texas freezes over.”","Says Ted Cruz tweeted, “I’ll believe in climate change when Texas freezes over.”",Viral image
PolitiFact,US,FALSE,2/16/2021,NASA admits that man-made climate change is a hoax!,“NASA admits that man-made climate change is a hoax!”,Viral image
PolitiFact,US,FALSE,2/5/2021,Hurricane Harvey dropped more water on Houston in five days than goes over Niagara Falls in a year.,Says that Hurricane Harvey “dropped more water on Houston in five days than goes over Niagara Falls in a year.”,John Kerry
PolitiFact,US,FALSE,1/27/2021,Bill Gates said “at least 3 billion people need to die” from the planet. ,Says Bill Gates said “at least 3 billion people need to die” from the planet.,Anonymous Instagram posts
PolitiFact,US,FALSE,2/16/2021,Photo shows the USS Al Gore Global Warming Research Vessel covered in ice. ,Photo shows the “USS Al Gore Global Warming Research Vessel” covered in ice.,Viral image
PolitiFact,US,FALSE,6/22/2021,"Greta Thunberg said, ""the climate crisis doesn’t exist."" ","Says Greta Thunberg said, ""the climate crisis doesn’t exist.""",Anonymous Instagram posts
PolitiFact,US,FALSE,4/26/2021,Biden's climate requirements will cut 90% of red meat from diet to a max 4 lbs per year and one burger per month.,"""Biden's climate requirements"" will ""cut 90% of red meat from diet"" to a ""max 4 lbs per year"" and ""one burger per month.""",Fox News Channel AND Kevin McCarthy 
PolitiFact,US,FALSE,11/1/2020,The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.,“The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.”,Anonymous Instagram posts
PolitiFact,US,FALSE,9/21/2020,The man in a mugshot is responsible for lighting 32 of the wildfires on the West Coast. ,The man in a mugshot is “responsible for lighting 32 of the wildfires” on the West Coast.,Anonymous Facebook posts
PolitiFact,US,FALSE,9/15/2020,Map shows that wildfires stop at the US.-Canada border. ,Map shows that wildfires stop at the US.-Canada border.,Viral image
PolitiFact,US,FALSE,9/15/2020,"West Coast wildfires are due to bad forest maintenance, not climate change. ","West Coast wildfires are due to “bad forest maintenance,” not climate change.",Anonymous Facebook posts
PolitiFact,US,FALSE,7/17/2020,"Joe Biden plans to mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.","Says Joe Biden plans to “mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.”",Donald Trump
PolitiFact,US,FALSE,1/10/2020,The Australia bushfires have nothing to do with climate change; it was arson.,"""The Australia bushfires have nothing to do with climate change; it was arson.""",Anonymous Facebook posts
PolitiFact,US,FALSE,12/6/2019,"In Bakersfield, where there’s a lot of oil drilling going on, there’s more solar jobs now in Bakersfield and around that area than there are oil jobs.","""In Bakersfield, where there’s a lot of oil drilling going on, there’s more solar jobs now in Bakersfield and around that area than there are oil jobs.""  ",Arnold Schwarzenegger
